address,balance,transfered?,
0x5dbd0b80a84edf0de5a02b9d3426e4fcfb727e03,12302.2,1,
0xbb9c846b01da0512f1453b8ee43c81f46544a1eb,20655.8857531494,1,
0x12C2C31cE7406b5d93B7B642def59515d7F80F4d,5781,1,
0x2d76558481948365af0e2ace3261cb7e807c8b8f,5781,1,
0xc4f9195fc89baf192a638b14656087c903026cdc,9287,1,
0x4fa3decb91c287a41b3b92a1821e61c0a1dea39f,3331,1,
0xce10886243c226837860ac5ab285c6dc9bc4ac58,17815,1,
0x49b2A28EAbf21472A0F340d2B51B9Eab5Af5c19B,182427.8,1,
0xdec29e12b0aaae41d74adf8228b61700401d67a9,7855,1,
0xd3c7f731cAC9C5769C3a5c873108162368AeA920,1984,1,
0x25d37c05F23e827A2E95F8130752925870501656,5883.54557268852403342,1,
0x49207ec12bb213fcc7504dfc49525f4b08db6f4b,3020.98327575,1,
0xeaadCb494F806317cfA7F54A3e6D940882B280dD,16818,1,
0xBAb27204EB80cb433334A4e6992Da81B0B6B49f4,7172.6391146331494,1,
0x7535b9d75Afb279D1c73Ef97Faf0E9107e739010,1810,1,
0x5f4545e8141b17ccecdfbb6fa615d2353bd43e5b,100000.8,1,
0xCb419e84D4Df2Cb7C6094151E66e51f45154eD62,1960,1,
0x39c006de8e3d362cA2A083CeD679Ea07710Ae949,11061.880710073631285,1,
0xC60DfEe8641d2545F113a6563F0e50Ce8e0CBC5f,9994.8,1,

0xbaD2af77575c36d55C6A22FCBc065892cD779633,10097.54691351120429,1,
0x5d606f19b3b3ed8f61bd19274162c3ae7f68326f,6180,1,
0x411B6fC3659AA52C312b2f064076b134F84D8Cc4,1960,1,
0x2ad229b2c88f077eba0fd93bd2c99a66de9556d4,30181.100372007273537734,1,
0x9f18eb870b647976964cddc916e448912f7f0016,4969,1,
0x8141c5736c8bF15717fD9Ec6B60bA78f5fBEF50E,40360,1,
0x06513f7E386b6F8e1c364419fc2d65BA4D8Ba9b9,40000,1,
0x4d8eecd352a245554811814fcf055827494fb4a8,59614.775584258256,1,
0x8b7a53c4ecca2343c05f4c57533017f8e5b12ac5,41388.366379911116749422,1,
0xa5a7ef83F2fd4F425986a9B142EFF8B484b04380,4011,1,
0x7b989E2F025cDF1b39Ca45CA01f694caE71ffed9,33385,1,
0x7D83c6D878D0F7835CC1f26ee33497A4d678f63B,10574.4,1,
0x5094E31f643E08068Ea0f74122648080dC4537a8,9795,1,

0xC3ca2EEBaB3F30Dda4d1a01f250311141a8d10f3,11859.2,1,
0x1bC5f5320b8aB5d8284309276C89bdBE2B63e78e,9668.2,1,
0x02f875C957BfD3D0B793279Ce4C0D211a8EA9292,26992.1,1,
0x16D5164401f6d651dBaFd15E4E1eFA03E0e2bD44,6,1,
0x49430023F9f1139c0c6844130bb3CFce8b0B457E,267795.0044704355,1,
0xc62819ef143b011B795e256512857d7a907D80aF,17542.588877025,1,
0x456b0fc86872496165C5a8F298B3505427ad7a50,2774,1,
0x9626BA19259FcD80753ef1Fb9723bf30D5d5E9e6,124624.395523898368214996,1,
0xd001675050750576625772CfEDF6D5F4442Ca432,5420,1,
